Model,Type,Operating Pressure (bar),Flow Rate (m³/min),Max. Working Pressure (bar),Drive Motor Rated Power (kW)
ASD 35,Fixed,7.50,3.16,8.50,18.50
ASD 35,Fixed,10.00,2.63,12.00,18.50
ASD 40,Fixed,7.50,3.92,8.50,22.00
ASD 40,Fixed,10.00,3.13,12.00,22.00
ASD 40,Fixed,13.00,2.58,15.00,22.00
ASD 50,Fixed,7.50,4.58,8.50,25.00
ASD 50,Fixed,10.00,3.85,12.00,25.00
ASD 50,Fixed,13.00,3.05,15.00,25.00
ASD 60,Fixed,7.50,5.53,8.50,30.00
ASD 60,Fixed,10.00,4.49,12.00,30.00
ASD 60,Fixed,13.00,3.71,15.00,30.00
ASD 35 T,Fixed,7.50,3.16,8.50,18.50
ASD 35 T,Fixed,10.00,2.63,12.00,18.50
ASD 40 T,Fixed,7.50,3.92,8.50,22.00
ASD 40 T,Fixed,10.00,3.13,12.00,22.00
ASD 40 T,Fixed,13.00,2.58,15.00,22.00
ASD 50 T,Fixed,7.50,4.58,8.50,25.00
ASD 50 T,Fixed,10.00,3.85,12.00,25.00
ASD 50 T,Fixed,13.00,3.05,15.00,25.00
ASD 60 T,Fixed,7.50,5.53,8.50,30.00
ASD 60 T,Fixed,10.00,4.49,12.00,30.00
ASD 60 T,Fixed,13.00,3.71,15.00,30.00
ASD 40 SFC,VSD,7.50,4.64,8.50,22.00
ASD 50 SFC,VSD,7.50,5.27,8.50,25.00
ASD 50 SFC,VSD,10.00,4.58,13.00,25.00
ASD 50 SFC,VSD,13.00,3.82,13.00,25.00
ASD 60 SFC,VSD,7.50,6.17,8.50,30.00
ASD 60 SFC,VSD,10.00,4.76,15.00,30.00
ASD 60 SFC,VSD,13.00,4.14,15.00,30.00
ASD 40 T SFC,VSD,7.50,4.64,8.50,22.00
ASD 50 T SFC,VSD,7.50,5.27,8.50,25.00
ASD 50 T SFC,VSD,10.00,4.58,13.00,25.00
ASD 50 T SFC,VSD,13.00,3.82,13.00,25.00
ASD 60 T SFC,VSD,7.50,7.17,8.50,30.00
ASD 60 T SFC,VSD,10.00,4.76,15.00,30.00
ASD 60 T SFC,VSD,13.00,4.14,15.00,30.00
BSD 65,Fixed,7.50,5.65,8.50,30.00
BSD 65,Fixed,10.00,4.52,12.00,30.00
BSD 65,Fixed,13.00,3.76,15.00,30.00
BSD 75,Fixed,7.50,7.00,8.50,37.00
BSD 75,Fixed,10.00,5.60,12.00,37.00
BSD 75,Fixed,13.00,4.43,15.00,37.00
BSD 83,Fixed,7.50,8.16,8.50,45.00
BSD 83,Fixed,10.00,6.85,12.00,45.00
BSD 83,Fixed,13.00,5.47,15.00,45.00
BSD 65 T,Fixed,7.50,5.65,8.50,30.00
BSD 65 T,Fixed,10.00,4.52,12.00,30.00
BSD 65 T,Fixed,13.00,3.76,15.00,30.00
BSD 75 T,Fixed,7.50,7.00,8.50,37.00
BSD 75 T,Fixed,10.00,5.60,12.00,37.00
BSD 75 T,Fixed,13.00,4.43,15.00,37.00
BSD 83 T,Fixed,7.50,8.16,8.50,45.00
BSD 83 T,Fixed,10.00,6.85,12.00,45.00
BSD 83 T,Fixed,13.00,5.47,15.00,45.00
BSD 75 SFC,VSD,7.50,7.44,10.00,37.00
BSD 75 SFC,VSD,10.00,6.51,10.00,37.00
BSD 75 SFC,VSD,13.00,5.54,15.00,37.00
BSD 75 T SFC,VSD,7.50,7.44,10.00,37.00
BSD 75 T SFC,VSD,10.00,6.51,10.00,37.00
BSD 75 T SFC,VSD,13.00,5.54,15.00,37.00
CSD 85,Fixed,7.50,8.26,8.50,45.00
CSD 85,Fixed,10.00,6.89,12.00,45.00
CSD 85,Fixed,13.00,5.50,15.00,45.00
CSD 105,Fixed,7.50,10.14,8.50,55.00
CSD 105,Fixed,10.00,8.18,12.00,55.00
CSD 105,Fixed,13.00,6.74,15.00,55.00
